publicationDocumentIdentifier,publicationDate,inventionTitle,abstractText
US20120135932A1,05-31-2012,Compositions And Methods For Treating Ischemia And Ischemia-Reperfusion Injury,"The present invention relates, in some embodiments, to compositions comprising a substantially pure compound represented by Structural Formula (I) and methods of using such compounds to activate cytoprotective kinases. In additional embodiments, the invention relates to methods for treating an ischemia or an ischemia-reperfusion injury in a subject, comprising administering to the subject an effective amount of a compound of the invention (e.g., in multiple doses). The values and preferred values of the variables in Structural Formula (I) are defined herein."
US20120136299A1,05-31-2012,Slide-Activated Angled Inserter And Cantilevered Ballistic Insertion For Intradermal Drug Infusion,"An infusion set has an adhesively secured main hub, and a slidable top cover, needle hub and angled or cantilevered needle that can be used for performing an intradermal needle insertion precisely targeting the upper 3 mm of skin surface, for example, one that substantially duplicates the Mantoux insertion technique, for injecting into the intradermal layers of skin, while maintaining a degree of comfort to the user. By sliding the top cover, the cantilevered needle is loaded and released or the angled needle is slid into an insertion site, while flexible arms and adhesive are used to stretch and/or flatten a skin surface, or otherwise create skin tension, at the insertion site."
US20120136300A1,05-31-2012,Adjustable Height Needle Infusion Device,"An infusion set has a retraction dial that can be removably assembled with the infusion set and access a threaded needle hub contained therein such that the dial can be used to advance or retract a needle hub and an inserted needle to a more precisely controlled insertion depth to deliver insulin or other medicament intradermally (i.e. to the upper 3 mm of skin surface). Position of the inserted needle can be maintained by providing a separated and isolated needle hub, main base and main hub of the infusion set that can isolate the inserted needle from external forces such that the needle can be maintained at a depth to deliver content to the upper 3 mm of skin surface during normal use."
US20120136310A1,05-31-2012,Integrated Spring-Activated Ballistic Insertion For Drug Infusion Device,"An infusion set has an integrated ballistic inserter that can insert a needle at a controlled high rate of speed to a depth to deliver content to the upper 3 mm of skin surface, and a skin securing, adhesive layer to secure the skin surface at the insertion site such that the inserter that can insert a needle without a risk of tenting of the skin surface. A driving spring of the ballistic inserter is captured within the ballistic inserter, and can be released by user operation, to insert a needle at such a controlled rate of speed."
US20120136696A1,05-31-2012,Method for the Simultaneous Diffusion of Survey Questionnaires on a Network of Affiliated Websites,The method according to the invention consists of dynamically adapting survey questionnaires to the content of the affiliated Web sites of editors and the specific visitors of said sites. It comprises the dynamic selection of the most appropriate questionnaire for a given survey in function of the content of the site of the editor and/or the specific who visits the Web site of the editor and/or the response rate to the questionnaire.
US20120140639A1,06-07-2012,CONVERGENCE FOR CONNECTIVITY FAULT MANAGEMENT,"A solution for convergence for connectivity fault management includes, at a device having a network interface, maintaining a continuity state. The continuity state is associated with a Connectivity Fault Management (CFM) Maintenance Association (MA) comprising multiple Maintenance End Points (MEPs) including a first MEP associated with the device. The maintaining includes setting the state to a value indicating continuity of the MA if a converged notification is received from the first MEP. The maintaining also includes setting the state value to a value indicating loss of continuity of the MA if a predetermined number of echo packets sent by the device towards the MEPs other than the first MEP are not received by the device within a predetermined time period."
US20120140891A1,06-07-2012,Method for extracting a primary diffusion spectrum,"A method and device for spectrometry analysis and for extracting a primary diffuse spectrum from a diffusion spectrum of diffuse radiation, according to a diffusion angle, coming from a material exposed to incident radiation through a surface, that includes the application of a spectral response function organized in the form of a matrix (M), known as a correlation matrix, of which each value acorresponds with a number of detected photons, with energy Ei, constituting the multiple diffuse radiation, when a photon is detected, with energy Ej, of the primary diffuse radiation."
US20120141914A1,06-07-2012,"Gas Diffusion Layer Member For Solid Polymer Fuel Cells, and Solid Polymer Fuel Cell",To provide a gas diffusion layer member with a good RH balance.
US20120141922A1,06-07-2012,Method and Apparatus for EUV Mask Having Diffusion Barrier,"A photomask is provide. The photomask includes a substrate having a multi-layer stack disposed over the substrate. The multilayer stack has alternating first second and third layers disposed over each other, wherein the first, second and third layers are composed of first, second and third materials, respectively, and wherein at least the second layer is formed through an atomic layer deposition process. A capping layer is disposed over the multilayer stack; and an absorber layer disposed over the capping layer. A method for evaluating materials, unit processes, and process sequences for manufacturing a photomask is also provided."
US20120143135A1,06-07-2012,Insulin Pump Dermal Infusion Set Having Partially Integrated Mechanized Cannula Insertion With Disposable Activation Portion,"An infusion set has a partially integrated ballistic inserter that can insert a needle at a controlled rate of speed to a depth to deliver content to the upper 3 mm of skin surface, and a skin-securing adhesive layer to secure the skin surface at the insertion site such that the inserter that can insert a needle with a reduced risk of tenting of the skin surface. A removable turnkey or pushable handle can be provided to release a driving spring of the ballistic inserter to insert a needle at a controlled rate of speed, of 3.3 ft/sec. (1.0 m/sec.) up to and including those greater than 10 ft/sec. (3.0 m/sec.), then release from the set for disposal. The infusion set can further include an extendable interface ring that retracts when the inserter is removed from the infusion set."
US20120143136A1,06-07-2012,Ballistic Microneedle Infusion Device,"An infusion set has a disposable inserter that can insert a needle at a controlled rate of speed to a depth to deliver insulin or other medicament to the upper 3 mm of skin surface, and a skin securing, adhesive layer to secure the skin surface at the insertion site such that the inserter that can insert a needle without a risk of tenting of the skin surface. Position of the inserted needle can be maintained by providing a separated inner and outer hub of the infusion set that can isolate the inserted needle from external forces such that the needle can be maintained at a depth to deliver insulin or other medicament to the upper 3 mm of skin surface during normal use."
US20120145729A1,06-14-2012,"Priming Cap, Infusion System, and Method for Priming an Infusion System","Disclosed are a priming cap for an infusion system and a method for priming. The priming cap comprises a body member with a first end and a second end and having a wall with an inner and outer surface, the body member defining a first cavity, wherein the priming cap comprises a venting member allowing passage of air from the first cavity through the venting member and limiting passage of liquid from the first cavity through the venting member."
US20120150113A1,06-14-2012,Infusion Apparatus With Flow Indicator,"A device for dispensing fluid to a patient and indicating a fluid flow condition. The device includes a reservoir configured to provide a source of fluid under pressure. A continuous flow path in fluid communication with the source of fluid provides a continuous and substantially constant flow rate of fluid from the source to a patient. The device further includes at least one pre-biased indicator in fluid communication with the continuous flow path. The pre-biased indicator is configured to provide a discrete visual signal that the pressure of the fluid in the continuous flow path is different from a predetermined level of pressure, thereby indicating a"
US20120150139A1,06-14-2012,"System For Ambulatory Drug Infusion Comprising A Filling Apparatus For Flexible Containers, Container Assembly, And Use Of A Flexible Container","An embodiment directed towards a system for ambulatory drug infusion over an extended time period from a flexible container is disclosed, and in which the system comprises a filling apparatus with a hollow support structure defining a container compartment, the container compartment being adapted to receive, fully or in part, the flexible container, and the support structure being adapted to limit the expansion of the flexible container by contacting the flexible container upon being filled, thus defining a maximum filling volume of the flexible container. In other embodiments, a container assembly is disclosed that comprises a flexible container and a support structure as well as use of a flexible container in or in combination with a system according to the invention or a container assembly according to the invention."
US20120150143A1,06-14-2012,"Infusion monitoring device, system and method","A system for automatically monitoring an infusion in a patient receiving an infusion from a fluid source, the system including: an infusion monitoring device comprising: a fluid valve, disposed in a fluid connection between the fluid source and the patient, and operable for preventing or allowing the flow of fluid from the fluid source to the patient; a variable volume chamber, fluidly coupled between the fluid valve and the patient, for allowing the creation of a pressure differential between the variable volume chamber and the patient; and a fluid inspection window, disposed in the fluid connection between the variable volume chamber and the patient, for allowing a view of fluid drawn from the patient into the infusion monitoring device when the fluid valve is closed and the variable volume chamber creates a negative pressure differential between the variable volume chamber and the patient."
US20120153399A1,06-21-2012,Low-Diffusion Drain and Source Regions in CMOS Transistors for Low Power/High Performance Applications,"The drain and source regions may at least be partially formed by in situ doped epitaxially grown semiconductor materials for complementary transistors in sophisticated semiconductor devices designed for low power and high performance applications. To this end, cavities may be refilled with in situ doped semiconductor material, which in some illustrative embodiments also provides a desired strain in the channel regions of the complementary transistors."
US20120155065A1,06-21-2012,Light-emitting electronic textile with improved light diffusion,"A light-emitting electronic textile () comprising a flexible component carrier () having a plurality of light-sources (-) arranged thereon; a cover textile () arranged to allow passage through the cover textile () of light emitted by the light-sources (-); and a light-diffusing member () arranged between the light-sources (-) and the cover textile (). The light-diffusing member () comprises a layered structure formed by a plurality of light-diffusing layers (---), wherein adjacent light-diffusing layers in the layered structure are spaced apart at least in portions of the light-diffusing member () corresponding to positions of the light-sources (-)."
US20120157920A1,06-21-2012,Distributed processor configuration for use in infusion pumps,"The present invention provides an infusion pump control system comprises a plurality of computing components positioned on discrete hardware modules to complete an infusion task. Those discrete processors, which are internally redundant and communicate through a common medium that provides for redundancy of the communication ability to react to internal failures in a known manner, implement capabilities specific to infusion pump functions, to complete an infusion task. Also, this invention provides automatically switchable redundant power supplies and a new mechanism for firmware provisioning using multi-dropped JTAG for a plurality of computing components."
US20120157934A1,06-21-2012,Infusion Sleeve with Multiple Material Layers,"A phacoemulsification system is disclosed. The system includes a phacoemulsification handpiece and selectively detachable infusion sleeve. The infusion sleeve may include a single body portion defined by a first open end and a second open end and having a hollow interior portion therein. The body portion may include multiple layers with at least one inner layer and at least one outer layer, such that the layers are constructed of separate and distinct materials."
US20120168143A1,07-05-2012,Thermal Diffusion Chamber With Heat Exchanger,"Preferably, a frame supporting a containment chamber, a sealed process chamber confined within the containment chamber, a heat source module disposed between the containment chamber and the process chamber, and a fluid inlet box with a flow adjustment structure, the fluid inlet box in fluidic communication with an exterior of the sealed process chamber, the flow adjustment structure controls fluid flow around the exterior of the sealed process chamber. Preferentially, a thermal sensor is disposed within and contactingly adjacent a wall of the sealed thermal chamber, the thermal sensor measures an internal temperature value of the sealed process chamber, and a controller communicating with the flow adjustment structure and the thermal sensor, the controller sets a flow position of the flow adjustment structure to regulate fluid flow through the fluid inlet box, and around the exterior of the sealed process chamber in response to the measured internal temperature value."
US20120168144A1,07-05-2012,Thermal Diffusion Chamber Control Device and Method,"Preferably, obtaining internal and external thermal measurement values of a sealed process chamber allows a control system to generate a control signal based on a comparison of the internal and external thermal measurement values to the predetermined value. The control signal is provided to a fluid handling system, wherein the fluid handling system modulates flow of a first fluid around the exterior of the sealed process chamber. The control signal is further provided to a closed loop heat exchange system, wherein the closed loop heat exchange system modulates flow of a second fluid within an interior cavity of the sealed process chamber based on the control signal. The control signal is still further provided to an open loop heat exchange system, wherein the open loop heat exchange system modulates flow of a third fluid within the interior of cavity of the sealed process chamber."
US20120168415A1,07-05-2012,Butt-welding and electrofusion joining machine,"A butt-welding and electro-fusion joining machine comprises a smoothing board, a heating board, fixed rings, a movable ring, throat pipe moulds, a manual switch, cross beams, and uprights, wherein the fixed rings and movable ring are set in turn on the cross beams of the uprights; the throat pipe moulds are set inside the fixed ring and the movable ring; the heating board is set at one end of the uprights; at one side of the heating board is fixed rings, and the other side is the smoothing board; the manual switch is set on the cross beams; the length of the cross beams is sufficient for placing pipes and fittings; the movable ring is set between the fixed rings and moves back and forth along the cross beams according to the length of the pipes and fittings joined by electro fusion."
US20120168573A1,07-05-2012,Positioning Device for Production Line of Large and Soft Infusion Bag,"A positioning device for a production line of a large and soft infusion bag comprises a driving cylinder () and a locating fork (). The telescoping end of the driving cylinder () is connected to one end of the locating fork (), and the other end of the locating fork () is fixed between a soft bag connector nip () on the large and soft transfusion bag production line and a filing mouth (). A stress plate () is fixed below the locating fork (), and located below the soft bag connector nip (). The device has a simple and compact structure, is inexpensive and reliable to use, and can effectively protect pins, so as to prolong the service life of the pins."
US20120171718A1,07-05-2012,Submerged Perfusion Bioreactor,"A device for biological purposes such as cell culturing, enzymatic reactions or filtering of fluid has a body with first and second surfaces. The body is delimited by a rim and an aperture in the center of the body. The aperture is covered at the first and second surface by first and second plates. The first and/or second plate has an inlet orifice allowing liquid medium into the aperture. Rotating means are arranged in the aperture between the first and second plate. At least one recessed portion is a cavity in the rim of the body having a first outlet orifice allowing the liquid medium to flow out of the body. At least one outlet channel connects the circular aperture with the recessed portion. Liquid is pumped into the aperture of the device and pumped through at least one outlet channel."
US20120176786A1,07-12-2012,Shaped Reflectors for Enhanced Optical Diffusion in Backlight Assemblies,"An assembly for diffusing a plurality of light sources. A diffusing device is placed adjacent to the plurality of light sources and preferably contains a plurality of shaped reflectors placed on the diffusing device where a shaped reflector is positioned adjacent to each light source. The shaped reflectors are placed in a one-to-one relationship with the light sources, which can be LED or fluorescent or any other type of light source. The reflectors may be single-tone, multi-tone, or gradient-tone and generally have a higher amount of reflectivity near the central axis of the light source and a lower reflectivity away from the central axis of the light source. The shaped reflectors may be used in both direct-lit and edge-lit orientations."
US20120177269A1,07-12-2012,Detection of Landmarks and Key-frames in Cardiac Perfusion MRI Using a Joint Spatial-Temporal Context Model,"A method including receiving an image sequence, wherein the image sequence includes a plurality of two-dimensional (2D) image frames of an organ arranged in a time sequence; constructing a three-dimensional (3D) volume by stacking a plurality of the 2D image frames in time order; detecting a best bounding box for a target of interest in the 3D volume, wherein the best bounding box is specified by a plurality of parameters including spatial and temporal information contained in the 3D volume; and determining the target of interest from the best bounding box."
US20120177696A1,07-12-2012,Diffusion-controlled dosage form and method of fabrication including three dimensional printing,"The invention includes a core-and-shell dosage form or unit in which the core contains API and in which the shell substantially governs the release such as by controlling diffusion of API through the shell. The shell may comprise a release-blocking polymer, and particles of a release-regulating polymer. The shell may be substantially impervious but the release-regulating polymer may become suitable to allow diffusion through it when activated. The core may include a buffer region between the shell and the API-containing portion of the core. The dosage form may include multiple units. The dosage form of the invention is capable of providing a release profile whose time scale can be adjusted by adjusting powder composition, and which may be approximately zero-order release. The invention further includes methods of manufacturing such a dosage form, such as three-dimensional printing."
US20120179101A1,07-12-2012,Infusion Pump System with Contamination-Resistant Features,"Some embodiments of an infusion pump system may include a construction that is resistant to external contaminants, such as precipitation, water splashes, sweat and the like. In particular embodiments, the infusion pump system can include a pump device that is removably attached to a controller device to provide an electrical connection therebetween. In such circumstances, the infusion pump system can be assembled as a sealed construction that protects the electrical connection between the pump device and the removable controller device."
US20120184907A1,07-19-2012,Infusion Pumps,"Ambulatory infusion pumps, pump assemblies, and baseplate assemblies, including cartridges, baseplates, cannulas, inserters, and related components and batteries therefor, as well as component combinations and related methods."
US20120191034A1,07-26-2012,Infusion Sleeve With Leakage Control,An irrigation sleeve for a phacoemulsification needle has a collar to limit leakage of irrigating liquid in a direction forward of the sleeve when the sleeve is positioned on the needle. In one embodiment the sleeve and needle have mating grooves and ridges. In another embodiment an O-ring embedded in the sleeve forms a seal against the needle body.
US20120191071A1,07-26-2012,Infusion Apparatuses and Methods of Use,"An exemplary infusion system for accessing an implanted device is disclosed comprising an insertion assembly, a hub comprising a sealable path configured to receive at least a portion of the insertion assembly, a flexible catheter attached to the hub and configured to receive at least a portion of the insertion assembly, and an extension tube attached to the hub. The hub may comprise a manifold element configured to provide fluid communication between the flexible catheter and the extension tube. The hub may also comprise a septum configured to seal the sealable path upon removal of the insertion assembly from the flexible catheter. The extension tube may also be configured to receive at least a portion of the insertion assembly. Exemplary methods of providing a fluid communication path to an implanted device are also disclosed."
US20120193229A1,08-02-2012,Electrochemical Oxygen Sensor with Internal Barrier to Oxygen Diffusion,"An electrochemical sensor includes a micro-porous plastic membrane supported on a disk and located between a gas inflow port and an electrolyte having a gelled oxygen diffusion barrier. The oxygen diffusion barrier, formed of gelled agar, minimizes thermal shock effects by impregnating any porous materials in the sensor."
US20120194189A1,08-02-2012,System and Method for Diffusion-modulated Relaxation Magnetic Resonance Imaging,"A system and method for applying an RF excitation pulse to the region of interest (ROI) and a plurality of selective gradients to the ROI to elicit MR data pertaining to at least a first MR parameter from the ROI. The system and method also apply at least one diffusion gradient to the ROI to modulate the first MR parameter with a second MR parameter, acquire MR data from the ROI, and reconstruct a parametric map of the ROI using the MR data, wherein the parametric map is weighted based on the first MR parameter and modulated by the second MR parameter."
US20120196025A1,08-02-2012,"Infusion preparation device, related method, and resultant product","A device to prepare an infusion, such as a brewed beverage, by moderating and manipulating the extraction rate of a particulate base during an infusion, a related method to prepare such an infusion, and a resultant product of such a method."
US20120199882A1,08-09-2012,Image Sensors Including A Gate Electrode Surrounding A Floating Diffusion Region,"Image sensors are provided. The image sensors may include first and second stacked impurity regions having different conductivity types. The image sensors may also include a floating diffusion region in the first impurity region. The image sensors may further include a transfer gate electrode surrounding the floating diffusion region in the first impurity region. Also, the transfer gate electrode and the floating diffusion region may overlap the second impurity region."
US20120209385A1,08-16-2012,"Anterior intervertebral fusion with fixation system, device and method","A system, device, and method are disclosed for anterior intervertebral fusion with fixation. An intervertebral fusion with fixation device includes a spacer configured to fit into a disc space between plural vertebrae, the spacer including through holes between and through plural sidewalls. A first fixating element is rigidly preloaded in a first portion of the spacer along a first linear trajectory. A second fixating element is rigidly preloaded in a second portion of the spacer along a second linear trajectory. An integrated drill and screwdriver instrument is adapted to extend through a cannula of the first fixating element and second fixating element and penetrate the vertebra. The instrument is further adapted to drive the head of the first fixating element and second fixating element into the vertebra and lock the first fixating element and second fixating element with respect to the spacer to prevent extrusion from the spacer."
US20120211663A1,08-23-2012,X-Ray Detectors Including Diffusion Barrier Films,"An X-ray detector includes a photoconductor, a first diffusion barrier film on a first surface of the photoconductor, at least one pixel electrode on the first diffusion barrier film, a signal transmitting unit to process an electrical signal output from the at least one pixel electrode, and a common electrode on a second surface of the photoconductor opposite to the first surface of the photoconductor."
US20120218740A1,08-30-2012,Illumination Instrument for an Infusion Pump,"Some embodiments of an infusion pump system may include an illumination instrument that provides the user with an opportunity to illuminate and inspect a targeted location. The illumination instrument can be useful in situations where the ambient lighting is insufficient for the user's inspection needs (e.g., during the night, during presentation or movie in which the lighting is low, or the like). In some embodiments, illumination instrument can be employed to visually inspect one or more components of the pump system, the infusion set, or a combination thereof."
US20120220928A1,08-30-2012,System for Providing Blood Glucose Measurements to an Infusion Device,"An infusion system includes a characteristic determining device and an infusion device. The characteristic determining device includes a receptacle for receiving and testing an analyte from the user to determine a concentration of the analyte in the user. The characteristic determining device also includes a communication system for transmitting a communication including data indicative of the determined concentration of the analyte in the user, and the infusion device includes a communication system for receiving the communication from the characteristic determining device. The infusion device further includes a bolus estimator for calculating an estimated amount of fluid to be infused into the body of the user based upon the received data indicative of the determined concentration of the analyte in the user and a target concentration of the analyte in the user, and an indicator to indicate when the estimated amount of fluid to be infused has been calculated."
US20120220936A1,08-30-2012,Data Storage for an Infusion Pump System,"A pump system can include a pump device and a controller device removably attachable to the pump device. The controller device can be reusable, and one or more pump devices can be disconnected and reconnected to the controller device. As such, some pump usage data can be conveniently stored in the pump device itself. In such circumstances, the controller device can receive data related to the pump's history or other usage when the pump device is attached to the controller."
US20120220940A1,08-30-2012,Method and System for Manual and Autonomous Control of an Infusion Pump,A method and system for both autonomous and manual control of an infusion pump for delivering medication to a patient is provided.
US20120226181A1,09-06-2012,Non-Invasive Method for Assessing Tissue Perfusion in a Patient,"The present invention pertains to a non-invasive way of assessing tissue perfusion in a patient, especially for treatment follow-up and prognosis of septic shock. More specifically, tissue perfusion is assessed by measuring the cutaneous partial pressure of carbon dioxide of said patient, for example at ear lobe with a PCOsensor which is not heated at a temperature superior to 37.5° C., and by calculating the difference between said cutaneous PCOand either the arterial or the end-tidal partial pressure of CO. A device for performing a continuous non-invasive perfusion follow-up is also part of the invention."
US20120226225A1,09-06-2012,Infusion Catheter Tip for Biologics,"A system for moving particles suspended in a first fluid, and for infusing them into the stream of a second fluid, includes a catheter with a multi-lumen distal separator. The separator is formed with a plurality of parallel lumens, wherein each lumen has a predetermined diameter. Importantly, the diameter of each lumen is dimensioned to sequentially receive particles therethrough, to prevent the particles from flocculating before they enter the stream of the second fluid. A recollection chamber in fluid communication with the separator allows for reconsolidation of the fluid after leaving the separator and for minimizing the damage caused to the vessel when the fluid exits the catheter. An inflatable balloon, affixed to the outside of the catheter, can be provided to regulate flow of the second fluid and thereby facilitate entry of the particles into the stream of the second fluid and increase retention of particles in targeted tissue."
US20120226303A1,09-06-2012,Perfusion Dilation Catheter System and Methods of Use,"A system includes an elongate catheter having a self-expanding frame disposed at the distal end of the catheter. The frame includes a plurality of longitudinal struts defined by parallel slots. The frame may be constrained into a radially compressed configuration for delivery to a treatment site. A helical balloon is mounted about the frame. Upon release from the constraining mechanism, the frame returns to a heat-set radially expanded configuration to initiate dilation of a treatment site in a patient. Inflating the balloon around the expanded frame further expands the initial radial dilation of the site. Proximal and distal ends of the slots are unobstructed by the balloon to permit flow of a fluid through the slots and through a lumen defined by an interior surface of the balloon when the frame is in the radially expanded configuration."
US20120231107A1,09-13-2012,"Double Bag Vacuum Infusion Process and System for Low Cost, Advanced Composite Fabrication","Boeing is actively engaged in the production of lightweight composite airframes for both military and commercial applications. The double bag vacuum infusion process of the present. invention provides a low cost, method for producing complex composite assemblies without an autoclave. It also enables the production of highly innovative structures. The quality of the composites produced using such an infusion process are comparable to composites made using prepregs, hand layup or fiber placement, and autoclave curing."
US20120231976A1,09-13-2012,Microfluidic Chip for High-Throughput Perfusion-Based Three-Dimensional Cell Culture,"A microfluidic chip for three-dimensional cell culture with high-throughput perfusion includes an array of cell culture units, each unit including a cell culture medium inlet hole connecting to one cell culture medium tank, at least one micro-bioreactor, at least one microchannel and at least one medium collection and analysis tank. Each medium collection and analysis tank is connected to an air chamber with an air channel and the air chamber has negative pressure source holes to generate negative pressure to drive the culture medium. The microfluidic chip also includes an intermediate plate connected to the bottom surface of the roof, and two bottom plates detachably assembled at the bottom of the intermediate plate. The first and second bottom surfaces have micro-bioreactors and cylindrical recessed slots and the intermediate plate has corresponding holes to achieve the goal of three-dimensional cell culture using minimum experimental resources with high-throughput perfusion."
US20120232501A1,09-13-2012,Volume Reducing Reservoir Insert for an Infusion Port,"An access portal is provided including a housing, a body defining a fluid reservoir, and a septum enclosing the fluid reservoir. A stem in fluid communication with the fluid reservoir extends from the fluid reservoir. The access portal also includes a reservoir insert disposed within the fluid reservoir, in which the reservoir insert decreases the fluid fill volume of the reservoir."
US20120238967A1,09-20-2012,Infusion System Having Filtration Device And Method,"An infusion system includes an infusion catheter defining a fluid passage extending between a proximal catheter end and a distal catheter end, and having a plurality of infusion ports in communication with the fluid passage and defining an infusion zone. A filtration device is provided which may be retrofitted upon the infusion catheter and includes a filter sleeve coupled to a slidable control sleeve. The filter sleeve is deformable between a first configuration having a radially contracted footprint and a second configuration having a radially expanded footprint, responsive to sliding the control sleeve over the infusion catheter such that the deformable filter sleeve buckles outwardly from the infusion catheter."
US20120238999A1,09-20-2012,Infusion Pump Systems and Methods,"Some embodiments of an infusion pump system can include a controller in which one or more features sets to be provided by the controller are enabled or disabled based upon the particular pump device that is connected to the controller. For example, in some embodiments, one or more advanced features of the controller are available to the user only when a first type of pump device (e.g., having predefined settings stored therein) is connected to the controller, and those advanced features of the controller are disabled when a second type of pump device is connected to the controller."
US20120245515A1,09-27-2012,System and Methods for Medicament Infusion,"System for trans-dermal delivery of doses of a medicament, comprising a delivery device to be placed in dermal contact with a patient, the delivery device comprising a reservoir for holding a medicament to be delivered, a trans-dermal injection element for delivering doses of the medicament to the patient, a control unit for controlling the delivery of the medicament when activated, the system further comprising a separate hand-held drive device to be temporarily placed in proximity of the delivery device when a dose of medicament is required, the drive device comprising an activation unit for activating the control unit of the delivery device."
US20120245522A1,09-27-2012,Method and System for Manual and Autonomous Control of an Infusion Pump,A method and system for both autonomous and manual control of an infusion pump for delivering medication to a patient is provided.
US20120245523A1,09-27-2012,Method and System for Manual and Autonomous Control of an Infusion Pump,A method and system for both autonomous and manual control of an infusion pump for delivering medication to a patient is provided.
US20120245524A1,09-27-2012,Method and System for Manual and Autonomous Control of an Infusion Pump,A method and system for both autonomous and manual control of an infusion pump for delivering medication to a patient is provided.
US20120245554A1,09-27-2012,Micro-Infusion System,"Infusion systems according to the present invention provide a medical fluid infusion system operable at a relatively wide range of flow rates while simultaneously maintaining a high degree of accuracy and predictability through employing specific flow path architecture, flow path dimensional ranges, and pump control parameters, such as voltage, frequency, voltage rise time, pump size and quantity, and controlled restriction of the fluid flow path. Automatic recognition of restrictive elements is employed to facilitate the ease of use of different restrictive elements with a single infusion system and improve patient safety."
US20120253266A1,10-04-2012,Extradural Infusion Suction System and Method to Drain Fluid Collection in the Extradural Space of Spinal Cord,"A minimally invasive method of and apparatus for aspirating purulent material from an epidural abscess, or the like, in a patient includes a dual concentric catheter system having an inner infusion catheter and an outer suction catheter, the infusion catheter able to be advanced relative to and beyond the suction catheter. The catheter system is introduced into the extradural space through percutaneous entry and advanced to an epidural abscess of interest. Infusion is used to dislodge purulent material ahead of the infusion catheter toward side openings in the suction catheter where it is aspirated."
US20120259156A1,10-11-2012,Coordinated Resuscitation Perfusion Support,This document relates to systems and techniques for the treatment of a cardiac arrest victim via electromagnetic stimulation of physiologic tissue.
US20120259273A1,10-11-2012,Bi-Directional Perfusion Cannula,"A bi-directional perfusion cannula is provided that includes an elongate tube for insertion into an artery. The elongate tube has a first aperture at a distal end of the tube which is forward during insertion and configured so that blood can flow into the artery in the direction of insertion, an elbow formed in the elongate tube, and a second aperture formed in or slightly rearward of the elbow and configured for supplying blood into the artery in a second direction which is generally opposite to the insertion direction."
US20120010861A1,01-12-2012,Method for optimal selecting LED light sources and implementing full spectrum light,"A method for optimal selecting light-emitting diode (LED) light sources for full spectrum lighting is disclosed. The optimal selecting method includes the following steps: gathering a plurality of spectral power distributions corresponding to LED light sources; arranging the spectral power distributions to obtain a matrix A corresponding to the LED light sources; calculating a reconstructed coefficient, which is a least-square approximation of the matrix with respect to a spectral power distribution of a CIE standard illuminant; and selecting a best combination of the LED light sources according to the reconstructed coefficient. An LED light source assembly is also disclosed."
US20120140891A1,06-07-2012,Method for extracting a primary diffusion spectrum,"A method and device for spectrometry analysis and for extracting a primary diffuse spectrum from a diffusion spectrum of diffuse radiation, according to a diffusion angle, coming from a material exposed to incident radiation through a surface, that includes the application of a spectral response function organized in the form of a matrix (M), known as a correlation matrix, of which each value acorresponds with a number of detected photons, with energy Ei, constituting the multiple diffuse radiation, when a photon is detected, with energy Ej, of the primary diffuse radiation."
US20120224617A1,09-06-2012,"Detection, communication and control in multimode cellular, TDMA, GSM, spread spectrum, CDMA, OFDM WiLAN and WiFi systems","Detection device for detection and generation of detection device generated signal, processed with remote control device generated remote control signal, with location finder or location tracker or navigation signal and with Modulation Demodulation (Modem) Format Selectable (MFS) communication signal. Processor for processing a digital signal into cross-correlated in-phase and quadrature-phase filtered signal and for processing a voice signal into Orthogonal Frequency Division Multiplexed (OFDM) or Orthogonal Frequency Division Multiple Access (OFDMA) signal. Detection device generated signal and location finder signal, with OFDM or OFDMA processed voice signal is used in a Wireless Local Area Network (WLAN) and in Voice over Internet Protocol (VoIP) network. Detection device generated signal and location finder signal with Time Division Multiple Access (TDMA), Global Mobile System (GSM) and spread spectrum Code Division Multiple Access (CDMA) signal is used in a cellular network. Polar and quadrature modulator and two antenna transmitter for transmission of provided processed signal. Transmitter with two amplifiers operated in separate radio frequency (RF) bands. One transmitter is operated as a Non-Linearly Amplified (NLA) transmitter and the other transmitter is operated as a linearly amplified or linearized amplifier transmitter. Two antenna receiver and demodulator. Diversity receiver and demodulator."
US20120225015A1,09-06-2012,Method for predicting autism spectrum disorders by cannabinoid and cannabinoid receptor expression,The inventive method relates to a method for the determination of susceptibility or diagnosis of autism or autism spectrum disorders. Diagnosis or determination of susceptibility determinations are predicated on quantitative analysis of endocannibinoid levels or endocannibinoid receptor expression.
US20120225948A1,09-06-2012,Broad spectrum disinfectant,"A broad spectrum disinfectant includes a quaternary ammonium halogen, an alkaline agent, a chelating agent, a nonionic surfactant coupler, at least one alkoxylated nonionic surfactant, and water or any aliphatic alcohol. The disinfectant composition is phenol-free, is effective in eradicating microorganisms such as various fungi, and is stable to gamma-irradiation."
